0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:25 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:25 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:25 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:28 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:28 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:31 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 78763
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:31 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:39 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:39 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:41 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:41 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:42 +0530] "GET /BookStoreWebsite/view_category?id=13 HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:42 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:43 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:43 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:51 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 78763
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:51 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:55 +0530] "GET /BookStoreWebsite/view_book?id=17 HTTP/1.1" 200 49223
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:55 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:01 +0530] "GET /BookStoreWebsite/view_category?id=16 HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:01 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:03 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52348
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:03 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:16 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:16 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:18 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 78763
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:18 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:37 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 78763
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:37 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:43 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 78763
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:43 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:55 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 78763
0:0:0:0:0:0:0:1 - - [11/May/2020:03:00:55 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:23 +0530] "GET /BookStoreWebsite/view_category?id=15 HTTP/1.1" 200 3509
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:23 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:24 +0530] "GET /BookStoreWebsite/view_book?id=11 HTTP/1.1" 200 53482
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:24 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:29 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:29 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:30 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 48842
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:30 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:35 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:35 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:36 +0530] "GET /BookStoreWebsite/view_book?id=17 HTTP/1.1" 200 49223
0:0:0:0:0:0:0:1 - - [11/May/2020:03:01:36 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:35 +0530] "GET /BookStoreWebsite/view_category?id=16 HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:35 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:35 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:35 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:37 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52378
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:37 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:50 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [11/May/2020:03:16:50 +0530] "GET /css/style.css HTTP/1.1" 404 726
